,commentText,commentClassification,length
1484,add proper tag for logs,code suggestion,23
1485,please fix the conflict .,logistics suggestion,25
1486, ,logistics suggestion,1
1488,looks good to me we need to inform egale eye team we are changing the structure .,logical suggestion,81
1489,disallow vehicle id from everywhere,code suggestion,35
1490,camelcase,spelling suggestion,9
1491,remove unnecessary lines,refactoring suggestion,24
1492,this join is not required as you are not fetching beat related data here .,code suggestion,74
1493,set target to development,logistics suggestion,25
1494,this dateinput comes in the specific format ? yyyy mm dd ?,questioning,58
1495, app webroot img invoicetemp body body .svg why this is added ?,code suggestion,63
1496,use even if single single of if .,refactoring suggestion,33
1497,remove unnecessary lines,refactoring suggestion,24
1498,just check whether equals or equalsignorecase will suffice .,logical suggestion,60
1499,you can do this at the top most level itself,logical suggestion,44
1501,please check the test cases,completeness suggestion,27
1502,space after comma ,refactoring suggestion,18
1504,which file we need this ? bizom next package .json or packages pwa app package .json ? ,questioning,87
1505,please remove commented code .,refactoring suggestion,30
1506,can we merge this line in ? as seen it s already present delete this line .,logistics suggestion,75
1507,remove unnecessary lines,refactoring suggestion,24
1508,what db operation is being performed here ?,questioning,43
1509, e a b fe a c ad c change id,spelling suggestion,28
1510,please file a new bug to move all indexed array to object field .,logistics suggestion,65
1511,why we changing button text style in one place this will break uniformity on button style .,buggycode suggestion,91
1512,try use builder option or mapper instead of constructor with all fields,code suggestion,71
1513, onchangebasetabledialog setopen point down onbasetableedit setopen ,code suggestion,68
1517,if not used we can remove,refactoring suggestion,25
1518,clean up !,refactoring suggestion,10
1519,this is approved .,logistics suggestion,18
1521,merging as this is simple ui code change .,logistics suggestion,42
1522,please explain what is happening here ?,questioning,39
1523,what does means ?,buggycode suggestion,17
1526,please update after verification .,completeness suggestion,34
1527,did approved by product or other client using this will break na backward compatibility .,buggycode suggestion,89
1528,is this done ?,questioning,14
1529,why the ?,questioning,9
1530,resolve conflict and ping me,logistics suggestion,28
1532,need to fetch the right credentials using identifier . currently it get first one,buggycode suggestion,81
1534,what if order is disabled and primary order is enabled ?,questioning,56
1535,do we need the space after dashboards or reports ?,questioning,50
1536,this can be configured at designation level as well since it is a user wise setting right ?,logical suggestion,91
1537, button disabled !isowner ,code suggestion,26
1538,invalid for loop format .,buggycode suggestion,25
1539,why are you using selectedprojections here ?,questioning,44
1541, e a b fe a c ad c findidbydatafetchername string fetchername ,code suggestion,62
1542,can we use !empty here to avoid error if the key is null .,buggycode suggestion,58
1543,please remove if not required,refactoring suggestion,29
1544, data inline card already merged,logistics suggestion,32
1545,i think instead of using stream twice we can fetch all the ids in single loop only .,buggycode suggestion,84
1546, e a b fe a c ad c is there any issue with fixing front end as well ?,questioning,69
1547, abb bdc c bd a fff a got it . it is being called from schemes getschememasterapi in bizomweb ,code suggestion,94
1549,suggestion here is not print actual token in logs,buggycode suggestion,49
1550, key type custom month range filter ,code suggestion,36
1551, !empty this request data notification id add here instead of notificationid ,code suggestion,77
1552,can we use the sql query to select lower case lower name to avoid extra loop .,code suggestion,78
1553,reformat the code .,refactoring suggestion,19
1554,plz remove the engine and other params . we will use what db provides at global level .,buggycode suggestion,87
1555,here we are getting all the outlet can we add outletstate condition .,logical suggestion,69
1558,this will always update with right ?,questioning,36
1560,resolve conflict,logistics suggestion,16
1561,recursive not used .,buggycode suggestion,20
1562,remove invalid spaces .,refactoring suggestion,23
1563,removed this hardcoded template name,buggycode suggestion,36
1564,check this can be read through session information instead of assigning as hardcoded .,refactoring suggestion,86
1565,why are you running a loop ?,buggycode suggestion,28
1566,can we use one class variable and set the class repeating line is just for class is bad .,buggycode suggestion,89
1567,please use correct spacing and remove unnecessary spaces .,refactoring suggestion,58
1569,why are we using varchar instead of int ? we can also make use of foreign key right ?,code suggestion,85
1570,please remove unnecessary space,refactoring suggestion,31
1572,can we get the user id and pass it here .,questioning,41
1573,plz raise to master,logistics suggestion,19
1575,why this is removed .,questioning,21
1577,since it s in review once get it done will merge .,logistics suggestion,50
1578,add indentation,refactoring suggestion,15
1579,please get it verified and update pr we will merge once verified .,completeness suggestion,66
1580, what we are getting with this ?,questioning,32
1581,agree but need to fix this otherwise duplicate row may create,buggycode suggestion,61
1582,correct indentation .,refactoring suggestion,21
1583,is it there in all companies ?,questioning,30
1584,change the title,refactoring suggestion,16
1585,please use brackets for if even if its single line,refactoring suggestion,50
1586,move this comment method inside function otherwise this will increase file length unnecessary .,code suggestion,95
1587, f ea d fb a f c yea got it but we should to both .,completeness suggestion,51
